Date,Financial Institution,Location,High,Low,Open ,Close,Aggregated Data 2 Days,Aggregated Data 3 Days,Aggregated Data for 5 Days,Volume,Number Employees,Net Change 0 (Numeric),Net Change 0 (Nominal),Net Change 5 (Numeric),Net Change 5 (Nominal),Net Change25 (Numeric),Net Change 25 (Nominal)
20/06/2014,MTB,Buffalo,125.21,124.14,124.33,124.73,124.48,124.16,124.1,1156400,"16,526",0.4,Positive,-0.51,Negative,-0.13,Negative
23/06/2014,MTB,Buffalo,124.99,123.94,124.8,124.23,123.88,123.98,123.97,781600,"16,526",-0.57,Negative,-0.68,Negative,-2.12,Negative
24/06/2014,MTB,Buffalo,124.89,123.33,123.94,123.53,123.85,123.84,123.94,886700,"16,526",-0.41,Negative,0.11,Positive,-1.71,Negative
25/06/2014,MTB,Buffalo,124.39,122.35,123.1,124.17,123.99,124.04,124.23,985400,"16,526",1.07,Positive,1.87,Positive,-0.39,Negative
26/06/2014,MTB,Buffalo,124.24,122.97,123.86,123.82,123.97,124,124.16,497900,"16,526",-0.04,Negative,-0.03,Negative,-2.36,Negative
27/06/2014,MTB,Buffalo,124.42,123,123.45,124.12,124.09,124.38,124.38,573700,"16,526",0.67,Positive,1.49,Positive,-3.54,Negative
30/06/2014,MTB,Buffalo,124.43,123.5,124.19,124.05,124.51,124.28,124.49,667900,"16,526",-0.14,Negative,0.46,Positive,-4.06,Negative
1/7/2014,MTB,Buffalo,125.7,124.19,124.55,124.97,124.4,124.58,124.33,636000,"16,526",0.42,Positive,-1.27,Negative,-4.76,Negative
2/7/2014,MTB,Buffalo,125.21,123.63,124.78,123.83,124.39,124.47,123.9,603200,"16,526",-0.95,Negative,-1.96,Negative,-4.75,Negative
3/7/2014,MTB,Buffalo,125.14,124.03,124.2,124.94,124.8,124.29,123.48,388100,"16,526",0.74,Positive,-2.51,Negative,-5.38,Negative
7/7/2014,MTB,Buffalo,124.93,124.04,124.58,124.65,123.97,123.58,122.89,543200,"16,526",0.07,Positive,-2.57,Negative,-4.68,Negative
8/7/2014,MTB,Buffalo,124.67,123.02,124.28,123.28,123.05,122.6,122.29,479500,"16,526",-1,Negative,-2.65,Negative,-4.7,Negative
9/7/2014,MTB,Buffalo,124.17,122.73,123.62,122.82,122.26,122.17,122.26,591200,"16,526",-0.8,Negative,-0.45,Negative,-4.12,Negative
10/7/2014,MTB,Buffalo,122.17,120.97,121.5,121.69,121.85,121.78,122.15,672900,"16,526",0.19,Positive,0.76,Positive,-1.27,Negative
11/7/2014,MTB,Buffalo,122.05,120.68,121.36,122.01,121.82,122.27,122.2,553600,"16,526",0.65,Positive,0.55,Positive,-1.26,Negative
14/07/2014,MTB,Buffalo,123.3,121.59,123.25,121.63,122.4,122.35,122.21,419900,"16,526",-1.62,Negative,-1.19,Negative,-3.29,Negative
15/07/2014,MTB,Buffalo,123.35,121.91,122.24,123.17,122.72,122.45,122.37,558200,"16,526",0.93,Positive,0.21,Positive,-1.17,Negative
16/07/2014,MTB,Buffalo,123.53,121.61,123.28,122.26,122.09,122.08,122.2,899500,"16,526",-1.02,Negative,-0.97,Negative,-1.88,Negative
17/07/2014,MTB,Buffalo,123.92,121.59,122.81,121.91,121.99,122.14,122.24,1108500,"16,526",-0.9,Negative,-0.34,Negative,-1.41,Negative
18/07/2014,MTB,Buffalo,122.83,121.37,122.83,122.06,122.25,122.27,122.57,660500,"16,526",-0.77,Negative,0.74,Positive,0.46,Positive
21/07/2014,MTB,Buffalo,122.46,121.39,122.1,122.45,122.38,122.41,123,501900,"16,526",0.35,Positive,2.1,Positive,0.57,Positive
22/07/2014,MTB,Buffalo,123.73,122.28,122.59,122.31,122.39,122.78,123.05,771600,"16,526",-0.28,Negative,0.09,Positive,1.21,Positive
23/07/2014,MTB,Buffalo,122.68,121.64,122.18,122.47,123.02,123.41,123.03,452300,"16,526",0.29,Positive,0.05,Positive,2,Positive
24/07/2014,MTB,Buffalo,123.8,122.45,122.76,123.57,123.88,123.48,123.08,743600,"16,526",0.81,Positive,-0.05,Negative,1.02,Positive
25/07/2014,MTB,Buffalo,124.48,123.27,123.27,124.2,123.44,123.04,122.66,591800,"16,526",0.93,Positive,-1.77,Negative,-0.61,Negative
28/07/2014,MTB,Buffalo,123.95,122.31,123.77,122.68,122.46,122.54,121.81,496400,"16,526",-1.09,Negative,-3.86,Negative,-0.14,Negative
29/07/2014,MTB,Buffalo,123.18,122.23,122.51,122.23,122.47,122.15,121.3,423300,"16,526",-0.28,Negative,-2.38,Negative,1.9,Positive
30/07/2014,MTB,Buffalo,123.34,121.83,122.88,122.71,122.1,121.37,120.81,444300,"16,526",-0.17,Negative,-3.09,Negative,0.71,Positive
31/07/2014,MTB,Buffalo,122.5,121.19,122.22,121.5,120.71,120.51,120.27,857400,"16,526",-0.72,Negative,-2.19,Negative,1.87,Positive
1/8/2014,MTB,Buffalo,121.73,119.45,121,119.91,120.02,119.94,119.74,605700,"16,526",-1.09,Negative,-2.18,Negative,3.48,Positive
4/8/2014,MTB,Buffalo,120.33,118.95,120.27,120.13,119.96,119.98,119.73,445000,"16,526",-0.14,Negative,-0.37,Negative,4.32,Positive
5/8/2014,MTB,Buffalo,120.89,119.26,119.5,119.79,119.91,119.55,119.62,491000,"16,526",0.29,Positive,0.08,Positive,4.3,Positive
6/8/2014,MTB,Buffalo,120.84,119.62,119.64,120.03,119.42,119.58,119.57,322100,"16,526",0.39,Positive,-0.14,Negative,5.39,Positive
7/8/2014,MTB,Buffalo,120.37,118.56,120.1,118.82,119.36,119.43,119.61,481500,"16,526",-1.28,Negative,0.13,Positive,5.64,Positive
8/8/2014,MTB,Buffalo,119.94,118.51,118.8,119.9,119.74,119.66,119.86,390700,"16,526",1.1,Positive,1.3,Positive,7.14,Positive
11/8/2014,MTB,Buffalo,120.07,119.47,120,119.58,119.54,119.77,119.87,357400,"16,526",-0.42,Negative,-0.04,Negative,5.68,Positive
